STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-23,90.0,100.0,,,1206.0,0.01,68.0,0.1,0.0,,27.0,9.0,396.0,,,,225.0,225.0,,,,,28.9,21.9,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-24,10.0,0.0,,,554.0,0.0,97.0,0.0,0.0,,25.0,13.0,564.0,,,,360.0,360.0,,,,,23.0,17.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-25,100.0,100.0,,,1300.0,0.15,2.0,1.5,0.0,,31.0,18.0,12.0,,,,270.0,270.0,,,,,18.3,15.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-26,70.0,90.0,,,2118.0,0.05,21.0,0.1,1.0,,33.0,26.0,126.0,,,,315.0,315.0,,,,,18.3,14.1,1.0,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-27,90.0,90.0,,,48.0,0.0,4.0,0.0,1.0,,33.0,24.0,24.0,,,,360.0,360.0,,,,,17.2,15.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-28,60.0,60.0,,,1830.0,0.0,69.0,0.0,1.0,,37.0,23.0,408.0,,,,225.0,225.0,,,,,27.5,23.0,1.0,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-29,100.0,100.0,,,412.0,0.04,0.0,0.0,0.0,,49.0,37.0,0.0,,,,225.0,225.0,,,,,34.4,23.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-30,70.0,90.0,,,2130.0,0.0,16.0,0.0,0.0,,46.0,22.0,96.0,,,,315.0,315.0,,,,,32.2,23.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-01-31,10.0,20.0,,,12.0,0.0,100.0,0.0,0.0,,33.0,19.0,600.0,,,,315.0,270.0,,,,,28.9,17.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-01,80.0,100.0,,,612.0,0.0,6.0,0.0,0.0,,45.0,32.0,36.0,,,,225.0,225.0,,,,,25.3,17.9,,,,,,,,,,,,,,,,,,,,
