Timestamp,Humidity (%),Temp (C),Temp (F),Light Level (eV),Brightness
2025-05-01T00:21:03,32.5,15.2,59.4,1859,Light
2025-05-01T00:21:04,32.5,15.1,59.1,1856,Light
2025-05-01T00:21:05,33.4,15.5,59.8,1897,Light
2025-05-01T00:21:06,33.4,15.2,59.4,1904,Light
2025-05-01T00:21:07,32.9,15.5,59.8,1857,Light
2025-05-01T00:21:08,32.9,15.9,60.6,1845,Light
2025-05-01T00:21:09,32.5,15.5,59.8,1857,Light
2025-05-01T00:21:10,32.5,14.9,58.8,1786,Light
2025-05-01T00:21:11,32.2,15.4,59.7,1802,Light
2025-05-01T00:21:12,32.2,15.5,59.8,1615,Light
2025-05-01T00:21:13,32.4,15.5,59.8,1563,Light
2025-05-01T00:21:14,32.4,15.8,60.4,491,Dim
2025-05-01T00:21:15,33.0,15.5,60.0,477,Dim
2025-05-01T00:21:16,33.0,15.7,60.3,1001,Light
2025-05-01T00:21:17,33.9,15.9,60.6,1827,Light
2025-05-01T00:21:18,33.9,15.2,59.4,1826,Light
2025-05-01T00:21:19,34.3,15.5,59.8,1774,Light
2025-05-01T00:21:20,34.3,15.1,59.1,1841,Light
2025-05-01T00:21:21,34.2,15.7,60.3,851,Light
2025-05-01T00:21:22,34.2,15.5,59.8,1255,Light
2025-05-01T00:21:24,34.0,16.0,60.9,1882,Light
2025-05-01T00:21:25,34.0,15.7,60.3,1893,Light
2025-05-01T00:21:26,34.0,15.5,59.8,1886,Light
2025-05-01T00:21:27,34.0,15.6,60.1,1867,Light
2025-05-01T00:21:28,33.8,15.6,60.1,1874,Light
2025-05-01T00:21:29,33.8,15.2,59.4,1849,Light
2025-05-01T00:21:30,33.3,16.2,61.1,1866,Light
2025-05-01T00:21:31,33.3,14.7,58.4,1450,Light
2025-05-01T00:21:32,33.1,15.5,60.0,1335,Light
2025-05-01T00:21:33,33.1,15.7,60.3,1710,Light
2025-05-01T00:21:34,33.4,15.7,60.3,1664,Light
2025-05-01T00:21:35,33.4,15.8,60.4,1857,Light
2025-05-01T00:21:36,33.4,16.2,61.1,747,Dim
2025-05-01T00:21:37,33.4,16.0,60.9,728,Dim
2025-05-01T00:21:38,32.9,15.7,60.3,955,Light
2025-05-01T00:21:39,32.9,16.0,60.7,906,Light
2025-05-01T00:21:40,34.3,15.5,60.0,577,Dim
2025-05-01T00:21:41,34.3,16.2,61.1,576,Dim
2025-05-01T00:21:42,35.2,15.9,60.6,586,Dim
