Timestamp,Humidity (%),Temp (C),Temp (F),Light Level (eV),Brightness
2025-04-29T11:23:36,41.4,12.9,55.2,3405,Very Bright
2025-04-29T11:23:37,41.4,13.1,55.6,3407,Very Bright
2025-04-29T11:23:38,29.9,13.8,56.8,3406,Very Bright
2025-04-29T11:23:39,29.9,12.8,55.1,3410,Very Bright
2025-04-29T11:23:40,29.9,14.1,57.4,3403,Very Bright
2025-04-29T11:23:41,29.9,13.9,57.1,3407,Very Bright
2025-04-29T11:23:42,30.0,14.2,57.5,3407,Very Bright
2025-04-29T11:23:43,30.0,14.2,57.5,3407,Very Bright
2025-04-29T11:23:44,29.9,13.0,55.3,3397,Very Bright
2025-04-29T11:23:45,29.9,12.5,54.5,3402,Very Bright
2025-04-29T11:23:46,29.9,13.7,56.7,3405,Very Bright
2025-04-29T11:23:47,29.9,13.9,57.1,3408,Very Bright
2025-04-29T11:23:48,29.9,13.5,56.2,3403,Very Bright
2025-04-29T11:23:49,29.9,13.1,55.5,3398,Very Bright
2025-04-29T11:23:50,30.0,13.5,56.2,3401,Very Bright
2025-04-29T11:23:51,30.0,13.2,55.8,3403,Very Bright
2025-04-29T11:23:52,30.0,13.3,55.9,3398,Very Bright
2025-04-29T11:23:53,30.0,13.1,55.6,3397,Very Bright
2025-04-29T11:23:54,30.3,12.8,55.1,3398,Very Bright
2025-04-29T11:23:55,30.3,14.2,57.5,3396,Very Bright
2025-04-29T11:23:56,30.4,13.4,56.1,3390,Very Bright
2025-04-29T11:23:57,30.4,12.7,54.9,3398,Very Bright
2025-04-29T11:23:58,30.4,13.0,55.3,3396,Very Bright
2025-04-29T11:23:59,30.4,13.1,55.5,3395,Very Bright
2025-04-29T11:24:00,30.4,13.7,56.7,3391,Very Bright
2025-04-29T11:24:01,30.4,12.9,55.2,3402,Very Bright
2025-04-29T11:24:02,30.4,12.9,55.2,3394,Very Bright
2025-04-29T11:24:03,30.4,12.7,54.9,3398,Very Bright
2025-04-29T11:24:04,30.4,14.3,57.7,3395,Very Bright
2025-04-29T11:24:05,30.4,14.3,57.8,3395,Very Bright
2025-04-29T11:24:06,30.5,12.8,55.1,3392,Very Bright
2025-04-29T11:24:07,30.5,14.1,57.4,3401,Very Bright
2025-04-29T11:24:08,30.4,13.3,55.9,3398,Very Bright
2025-04-29T11:24:09,30.4,14.0,57.2,3394,Very Bright
2025-04-29T11:24:10,30.4,13.1,55.5,3397,Very Bright
2025-04-29T11:24:11,30.4,13.2,55.8,3401,Very Bright
2025-04-29T11:24:12,30.4,12.9,55.2,3396,Very Bright
2025-04-29T11:24:13,30.4,13.4,56.1,3407,Very Bright
2025-04-29T11:24:14,30.4,13.5,56.2,3405,Very Bright
2025-04-29T11:24:15,30.4,13.2,55.8,3402,Very Bright
2025-04-29T11:24:16,30.3,13.1,55.6,3402,Very Bright
2025-04-29T11:24:17,30.3,14.0,57.2,3402,Very Bright
2025-04-29T11:24:18,30.3,13.5,56.4,3400,Very Bright
2025-04-29T11:24:19,30.3,13.1,55.5,3408,Very Bright
2025-04-29T11:24:20,30.3,14.2,57.5,3406,Very Bright
2025-04-29T11:24:21,30.3,13.4,56.1,3381,Very Bright
2025-04-29T11:24:23,30.2,13.4,56.1,3404,Very Bright
2025-04-29T11:24:24,30.2,14.1,57.4,3402,Very Bright
