Timestamp,Humidity (%),Temp (C),Temp (F),Light Level (eV),Brightness
2025-05-05T21:12:06,50.8,15.3,59.6,792,Dim
2025-05-05T21:12:07,50.8,14.0,57.2,811,Light
2025-05-05T21:12:08,47.6,13.8,56.8,807,Light
2025-05-05T21:12:09,47.6,14.8,58.7,810,Light
2025-05-05T21:12:10,47.6,14.4,58.0,790,Dim
2025-05-05T21:12:11,47.6,15.3,59.6,782,Dim
2025-05-05T21:12:13,47.6,15.4,59.7,790,Dim
2025-05-05T21:12:14,47.6,15.0,59.0,838,Light
2025-05-05T21:12:15,47.7,15.0,59.0,754,Dim
2025-05-05T21:12:16,47.7,15.3,59.6,718,Dim
2025-05-05T21:12:17,47.8,14.2,57.5,691,Dim
2025-05-05T21:12:18,47.8,15.0,59.0,702,Dim
2025-05-05T21:12:19,47.9,15.0,59.0,725,Dim
2025-05-05T21:12:20,47.9,15.3,59.6,742,Dim
2025-05-05T21:12:21,48.1,15.2,59.4,809,Light
2025-05-05T21:12:22,48.1,14.9,58.8,821,Light
