Timestamp,Humidity (%),Temp (°C),Temp (°F)
2025-04-12T22:01:00,38.6,13.9,57.1
2025-04-12T22:01:01,38.6,13.7,56.7
2025-04-12T22:01:02,38.7,13.5,56.2
2025-04-12T22:01:03,38.7,14.2,57.5
2025-04-12T22:01:04,38.7,13.6,56.5
2025-04-12T22:01:05,38.7,14.1,57.4
2025-04-12T22:01:06,38.7,13.7,56.7
2025-04-12T22:01:07,38.7,13.7,56.7
2025-04-12T22:01:08,38.7,13.7,56.7
2025-04-12T22:01:09,38.7,14.2,57.5
2025-04-12T22:01:10,38.7,14.0,57.2
2025-04-12T22:01:11,38.7,13.5,56.4
2025-04-12T22:01:12,38.7,13.8,56.8
2025-04-12T22:01:13,38.7,14.2,57.5
2025-04-12T22:01:14,38.7,13.6,56.5
2025-04-12T22:01:15,38.7,13.7,56.7
2025-04-12T22:01:16,38.7,14.0,57.2
2025-04-12T22:01:17,38.7,13.6,56.5
2025-04-12T22:01:18,38.6,13.8,56.8
2025-04-12T22:01:19,38.6,14.2,57.5
2025-04-12T22:01:20,38.6,13.3,55.9
2025-04-12T22:01:21,38.6,13.8,56.8
2025-04-12T22:01:22,38.6,13.9,56.9
2025-04-12T22:01:23,38.6,13.3,55.9
2025-04-12T22:01:24,38.7,13.8,56.8
2025-04-12T22:01:25,38.7,14.2,57.5
2025-04-12T22:01:26,38.7,13.6,56.5
2025-04-12T22:01:27,38.7,13.9,57.1
2025-04-12T22:01:28,38.7,13.5,56.2
2025-04-12T22:01:29,38.7,13.3,55.9
2025-04-12T22:01:30,38.7,13.8,56.8
2025-04-12T22:01:31,38.7,13.2,55.8
2025-04-12T22:01:32,38.7,13.5,56.2
2025-04-12T22:01:33,38.7,13.9,57.1
2025-04-12T22:01:34,38.8,13.2,55.8
2025-04-12T22:01:35,38.8,14.0,57.2
2025-04-12T22:01:36,38.8,13.5,56.2
2025-04-12T22:01:37,38.8,14.2,57.5
2025-04-12T22:01:38,38.8,13.9,57.1
2025-04-12T22:01:39,38.8,13.4,56.1
2025-04-12T22:01:40,38.9,13.5,56.2
2025-04-12T22:01:41,38.9,14.2,57.5
2025-04-12T22:01:42,38.8,13.3,55.9
2025-04-12T22:01:43,38.8,14.1,57.4
2025-04-12T22:01:44,38.8,13.5,56.4
2025-04-12T22:01:45,38.8,14.0,57.2
2025-04-12T22:01:47,38.9,13.3,55.9
2025-04-12T22:01:48,38.9,14.0,57.2
2025-04-12T22:01:49,38.9,13.8,56.8
2025-04-12T22:01:50,38.9,13.4,56.1
2025-04-12T22:01:51,38.9,13.7,56.7
2025-04-12T22:01:52,38.9,13.5,56.2
2025-04-12T22:01:53,38.8,13.6,56.5
2025-04-12T22:01:54,38.8,13.2,55.8
2025-04-12T22:01:55,38.8,13.3,55.9
2025-04-12T22:01:56,38.8,13.1,55.6
2025-04-12T22:01:57,38.7,13.7,56.7
2025-04-12T22:01:58,38.7,13.4,56.1
2025-04-12T22:01:59,38.7,13.8,56.8
2025-04-12T22:02:00,38.7,13.4,56.1
2025-04-12T22:02:01,38.7,13.9,57.1
2025-04-12T22:02:02,38.7,13.9,57.1
2025-04-12T22:02:03,38.7,13.0,55.3
2025-04-12T22:02:04,38.7,13.8,56.8
2025-04-12T22:02:05,38.7,13.3,55.9
2025-04-12T22:02:06,38.7,13.2,55.8
2025-04-12T22:02:07,38.7,14.2,57.5
2025-04-12T22:02:08,38.7,13.4,56.1
2025-04-12T22:02:09,38.6,13.7,56.7
2025-04-12T22:02:10,38.6,13.6,56.5
2025-04-12T22:02:11,38.6,13.4,56.1
2025-04-12T22:02:12,38.6,13.8,56.8
2025-04-12T22:02:13,38.6,14.0,57.2
2025-04-12T22:02:14,38.6,13.7,56.7
2025-04-12T22:02:15,38.6,14.0,57.2
2025-04-12T22:02:16,38.6,13.5,56.4
2025-04-12T22:02:17,38.6,13.8,56.8
2025-04-12T22:02:18,38.6,13.8,56.8
2025-04-12T22:02:19,38.7,13.5,56.2
2025-04-12T22:02:20,38.7,13.3,55.9
2025-04-12T22:02:21,38.6,13.3,55.9
2025-04-12T22:02:22,38.6,13.7,56.7
2025-04-12T22:02:23,38.6,13.9,57.1
2025-04-12T22:02:24,38.6,13.9,57.1
2025-04-12T22:02:25,38.5,13.4,56.1
2025-04-12T22:02:26,38.5,13.1,55.5
2025-04-12T22:02:27,38.6,13.1,55.5
2025-04-12T22:02:28,38.6,13.5,56.4
2025-04-12T22:02:29,38.6,13.6,56.5
2025-04-12T22:02:30,38.6,14.0,57.2
